nvidia,microsoft office,118,11
nvidia,html,113,12
nvidia,matlab,99,13
nvidia,c#,88,14
nvidia,mysql,85,15
nvidia,embedded systems,83,16
nvidia,git,80,17
nvidia,data structures,72,18
nvidia,debugging,70,19
nvidia,microsoft excel,63,20
paypal,java,390,1
paypal,javascript,312,2
paypal,sql,262,3
paypal,c++,245,4
paypal,python,245,5
paypal,html,234,6
paypal,mysql,189,7
paypal,c,187,8
paypal,linux,151,9
paypal,microsoft office,142,10
paypal,software development,129,11
paypal,css,124,12
paypal,git,117,13
paypal,node.js,112,14
paypal,jquery,111,15
paypal,xml,102,16
paypal,agile methodologies,100,17
paypal,php,95,18
paypal,microsoft excel,90,19
paypal,html5,84,20
red-hat,python,280,1
red-hat,linux,257,2
red-hat,java,247,3
red-hat,c,210,4
red-hat,c++,194,5
red-hat,javascript,188,6
red-hat,sql,170,7
red-hat,git,157,8
red-hat,html,151,9
red-hat,mysql,129,10
red-hat,software development,129,11
red-hat,microsoft office,100,12
red-hat,bash,93,13
red-hat,programming,89,14
red-hat,shell scripting,87,15
red-hat,php,78,16
red-hat,css,70,17
red-hat,docker,68,18
red-hat,unix,67,19
red-hat,microsoft excel,62,20
salesforce,java,502,1
salesforce,javascript,396,2
salesforce,sql,326,3
salesforce,python,316,4
salesforce,c++,303,5
salesforce,html,302,6
salesforce,c,263,7
salesforce,microsoft office,196,8
salesforce,linux,194,9
salesforce,software development,187,10
salesforce,css,181,11
salesforce,mysql,166,12
salesforce,agile methodologies,153,13
salesforce,programming,131,14
salesforce,c#,127,15
salesforce,microsoft excel,125,16
salesforce,php,124,17
salesforce,jquery,123,18
salesforce,git,122,19
salesforce,xml,114,20
sap,java,275,1
sap,sql,197,2
sap,javascript,196,3
sap,c++,171,4
sap,c,133,5
sap,html,130,6
sap,software development,124,7
sap,python,120,8
sap,linux,107,9
sap,mysql,103,10
sap,microsoft office,95,11
sap,xml,95,12
sap,c#,90,13
sap,eclipse,83,14
sap,agile methodologies,79,15
sap,css,77,16
sap,microsoft excel,61,17
sap,programming,60,18
sap,java enterprise edition,57,19
sap,git,55,20
sas,java,29,1
sas,sql,26,2
sas,software development,22,3
sas,linux,20,4
sas,agile methodologies,20,5
sas,c++,20,6
sas,unix,16,7
sas,c,15,8
sas,xml,14,9
sas,eclipse,12,10
sas,mysql,11,11
sas,javascript,10,12
sas,databases,10,13
sas,python,10,14
sas,software engineering,9,15
sas,html,9,16
sas,microsoft office,8,17
sas,jsp,7,18
sas,c#,7,19
sas,java enterprise edition,7,20
shopee,java,108,1
shopee,python,101,2
shopee,javascript,94,3
shopee,c++,82,4
shopee,mysql,60,5
shopee,html,59,6
shopee,c,51,7
shopee,sql,46,8
shopee,git,44,9
shopee,php,39,10
shopee,linux,39,11
shopee,algorithms,37,12
shopee,microsoft office,34,13
shopee,node.js,33,14
shopee,programming,32,15
shopee,c#,31,16
shopee,react.js,31,17
shopee,web development,30,18
shopee,software development,30,19
shopee,cascading style sheets,26,20
tencentglobal,c++,126,1
tencentglobal,java,95,2
tencentglobal,python,92,3
tencentglobal,linux,92,4
tencentglobal,c,80,5
tencentglobal,javascript,70,6
tencentglobal,mysql,57,7
tencentglobal,software development,49,8
tencentglobal,sql,33,9
tencentglobal,html,32,10
tencentglobal,php,31,11
tencentglobal,algorithms,28,12
tencentglobal,machine learning,27,13
tencentglobal,software engineering,25,14
tencentglobal,programming,23,15
tencentglobal,c#,23,16
tencentglobal,hadoop,21,17
tencentglobal,matlab,19,18
tencentglobal,distributed systems,19,19
tencentglobal,web development,19,20
uber-com,java,577,1
uber-com,python,492,2
uber-com,c++,460,3
uber-com,javascript,439,4
uber-com,c,380,5
uber-com,sql,370,6
uber-com,html,324,7
uber-com,linux,266,8
uber-com,mysql,262,9
uber-com,git,221,10
uber-com,algorithms,211,11
uber-com,software development,204,12
uber-com,css,202,13
uber-com,programming,180,14
uber-com,microsoft office,178,15
uber-com,matlab,160,16
uber-com,c#,158,17
uber-com,php,150,18
uber-com,node.js,129,19
uber-com,jquery,126,20
upwork,javascript,71,1
upwork,html,52,2
upwork,java,49,3
upwork,php,49,4
upwork,mysql,45,5
upwork,sql,44,6
upwork,python,36,7
upwork,web development,34,8
upwork,c#,33,9
upwork,jquery,33,10
upwork,software development,31,11
upwork,git,30,12
upwork,c++,30,13
upwork,cascading style sheets,27,14
upwork,css,27,15
upwork,microsoft office,25,16
upwork,microsoft sql server,25,17
upwork,html5,24,18
upwork,linux,21,19
upwork,ajax,20,20
virtusa,java,203,1
virtusa,javascript,167,2
virtusa,html,149,3
virtusa,sql,142,4
virtusa,c++,111,5
virtusa,c,110,6
virtusa,microsoft office,106,7
virtusa,mysql,95,8
virtusa,microsoft excel,76,9
virtusa,c#,72,10
virtusa,microsoft word,67,11
virtusa,core java,66,12
virtusa,php,65,13
virtusa,cascading style sheets,62,14
virtusa,software development,58,15
virtusa,python,55,16
virtusa,css,48,17
virtusa,xml,45,18
virtusa,hibernate,44,19
virtusa,leadership,44,20
vmware,java,237,1
vmware,c++,181,2
vmware,python,175,3
vmware,javascript,163,4
vmware,linux,148,5
vmware,c,146,6
vmware,sql,145,7
vmware,software development,126,8
vmware,html,116,9
vmware,mysql,97,10
vmware,git,94,11
vmware,microsoft office,82,12
vmware,programming,69,13
vmware,algorithms,65,14
vmware,agile methodologies,64,15
vmware,css,61,16
vmware,unix,61,17
vmware,c#,60,18
vmware,xml,58,19
vmware,eclipse,54,20
yahoo,java,141,1
yahoo,c++,109,2
yahoo,javascript,109,3
yahoo,python,102,4
yahoo,c,85,5
yahoo,linux,81,6
yahoo,sql,77,7
yahoo,mysql,72,8
yahoo,html,69,9
yahoo,software development,56,10
yahoo,css,56,11
yahoo,php,52,12
yahoo,algorithms,41,13
yahoo,git,41,14
yahoo,hadoop,38,15
yahoo,eclipse,37,16
yahoo,matlab,34,17
yahoo,microsoft office,33,18
yahoo,agile methodologies,32,19
yahoo,jquery,32,20
youtube,java,284,1
youtube,python,246,2
youtube,c++,230,3
youtube,javascript,201,4
youtube,c,175,5
youtube,html,138,6
youtube,sql,120,7
youtube,linux,117,8
youtube,matlab,96,9
youtube,software development,94,10
youtube,microsoft office,92,11
youtube,mysql,90,12
youtube,programming,88,13
youtube,css,86,14
youtube,algorithms,79,15
youtube,git,75,16
youtube,machine learning,69,17
youtube,php,64,18
youtube,microsoft excel,62,19
youtube,c#,62,20
